feature,dataset,Configuration,context,cutoff,Fold,Avg Precision,Avg Recall,Avg F1,Avg pr time,Avg rec time
attrs,D2.R,C2.1,0.5,3,fold_1,68.62745098,22.4739445,27.46495467,0.11779802,18.64465002
attrs,D2.R,C2.1,0.5,3,fold_2,57.14285714,8.472047793,13.79849964,0.111701625,15.29169118
attrs,D2.R,C2.1,0.5,3,fold_3,57.14285714,9.258982652,14.64882818,0.116188458,18.21799898
attrs,D2.R,C2.1,0.5,3,fold_4,76.92307692,25.16978541,28.73243461,0.109904161,14.71250651
attrs,D2.R,C2.1,0.5,3,fold_5,54.54545455,5.381439961,9.516441669,0.08886476,13.47430875
attrs,D2.R,C2.2,0.5,5,fold_1,65.26315789,12.55229882,18.65943112,0.095158326,17.88686898
attrs,D2.R,C2.2,0.5,5,fold_2,57.64705882,9.207723612,15.39789041,0.090239609,13.94253464
attrs,D2.R,C2.2,0.5,5,fold_3,62.35294118,12.92098634,19.5385149,0.096231769,14.03974163
attrs,D2.R,C2.2,0.5,5,fold_4,66.25,20.66620887,24.75394514,0.097175717,14.18400104
attrs,D2.R,C2.2,0.5,5,fold_5,56.92307692,9.899352897,16.34075245,0.091255151,11.68046289
attrs,D2.R,C2.3,0.5,10,fold_1,69.31216931,21.5508312,29.84901921,0.090716373,15.63101067
attrs,D2.R,C2.3,0.5,10,fold_2,59.13580247,20.46180877,28.44851334,0.124748614,24.36108825
attrs,D2.R,C2.3,0.5,10,fold_3,59.57671958,22.02566734,30.13107855,0.162878797,26.09135572
attrs,D2.R,C2.3,0.5,10,fold_4,74.61988304,28.6911151,38.74774635,0.159842328,28.53467609
attrs,D2.R,C2.3,0.5,10,fold_5,75.16339869,27.88785754,39.22175132,0.16051298,26.36778416
attrs,D2.R,C3.1,0.8,3,fold_1,50,12.70133276,19.4509245,0.179625392,48.69624276
attrs,D2.R,C3.1,0.8,3,fold_2,59.64912281,22.1532069,27.71002934,0.178214299,58.83831934
attrs,D2.R,C3.1,0.8,3,fold_3,52.38095238,16.29980559,22.97777958,0.170998823,44.72825923
attrs,D2.R,C3.1,0.8,3,fold_4,61.40350877,23.22240539,28.43540188,0.163654214,55.09873326
attrs,D2.R,C3.1,0.8,3,fold_5,61.40350877,24.18065369,29.81582651,0.137201949,34.65135805
attrs,D2.R,C3.2,0.8,5,fold_1,63.47826087,22.11923527,31.27875874,0.092791464,22.29187473
attrs,D2.R,C3.2,0.8,5,fold_2,48.57142857,15.11210256,20.44697349,0.091153678,24.81988112
attrs,D2.R,C3.2,0.8,5,fold_3,59.09090909,25.82716725,33.45256335,0.089657979,18.74994195
attrs,D2.R,C3.2,0.8,5,fold_4,62.10526316,20.00995512,28.5398166,0.092346166,25.04886652
attrs,D2.R,C3.2,0.8,5,fold_5,49,18.23373609,21.40379779,0.092463744,26.32016835
attrs,D2.R,C3.3,0.8,10,fold_1,72.31481481,41.31648786,50.45929566,0.088440855,22.99184493
attrs,D2.R,C3.3,0.8,10,fold_2,55.1010101,27.48500233,32.52553237,0.091353406,26.18186992
attrs,D2.R,C3.3,0.8,10,fold_3,60.43478261,36.16378195,41.47283995,0.091801633,22.20407382
attrs,D2.R,C3.3,0.8,10,fold_4,68.57142857,36.01244482,43.59617131,0.088839644,26.30826939
attrs,D2.R,C3.3,0.8,10,fold_5,66.66666667,38.7595664,45.13653258,0.091857147,26.51730407
attrs,D2.S,C1.1,0.2,3,fold_1,100,9.920634921,17.76315789,0.026275992,0.407416821
attrs,D2.S,C1.1,0.2,3,fold_2,100,4.963768116,9.407894737,0.006833434,0.554557323
attrs,D2.S,C1.1,0.2,3,fold_3,100,6.893939394,12.86472149,0.00930202,0.407069325
attrs,D2.S,C1.1,0.2,3,fold_4,100,6.893939394,12.86472149,0.008139133,0.408353686
attrs,D2.S,C1.1,0.2,3,fold_5,100,7.941176471,14.64646465,0.0286448,0.379971385
attrs,D2.S,C2.1,0.2,5,fold_1,86.66666667,18.24074074,29.62433417,0.008522034,0.294797738
attrs,D2.S,C2.1,0.2,5,fold_2,100,21.21813969,33.04848525,0.019504726,0.400977373
attrs,D2.S,C2.1,0.2,5,fold_3,75,15.23407148,23.99092971,0.00879848,0.310762942
attrs,D2.S,C2.1,0.2,5,fold_4,90,20.79545455,30.64618182,0.009854019,0.566442907
attrs,D2.S,C2.1,0.2,5,fold_5,100,11.85983827,21.12068966,0.029709578,0.40975678
attrs,D2.S,C3.1,0.2,10,fold_1,72.5,32.77821385,40.00207188,0.008868277,0.364811182
attrs,D2.S,C3.1,0.2,10,fold_2,61.66666667,35.74074074,42.16037163,0.014995654,0.184636156
attrs,D2.S,C3.1,0.2,10,fold_3,46.66666667,17.17059639,21.95168155,0.018179536,0.390238166
attrs,D2.S,C3.1,0.2,10,fold_4,60,17.18390805,25.9239611,0.026140118,0.34800477
attrs,D2.S,C3.1,0.2,10,fold_5,80,31.2946739,42.8112706,0.023555358,0.431915283
attrs,D2.S,C2.1,0.5,3,fold_1,73.33333333,19.44155844,30.03076923,0.021405554,0.599837589
attrs,D2.S,C2.1,0.5,3,fold_2,47.61904762,16.93877551,19.4681509,0.018996954,0.824866533
attrs,D2.S,C2.1,0.5,3,fold_3,57.14285714,11.56646442,18.07359307,0.017250913,0.740157672
attrs,D2.S,C2.1,0.5,3,fold_4,50,20.17857143,23.00194932,0.018232862,0.641908924
attrs,D2.S,C2.1,0.5,3,fold_5,77.77777778,12.8219697,19.6031746,0.023426771,1.386755069
attrs,D2.S,C2.2,0.5,5,fold_1,56.66666667,21.56084656,27.68662604,0.020325979,0.645058711
attrs,D2.S,C2.2,0.5,5,fold_2,55.55555556,25.98163003,28.45081602,0.022173246,0.677071174
attrs,D2.S,C2.2,0.5,5,fold_3,57.5,14.41211652,22.14699598,0.018405169,0.721286088
attrs,D2.S,C2.2,0.5,5,fold_4,50,10.15969387,16.66601667,0.020989925,0.641242921
attrs,D2.S,C2.2,0.5,5,fold_5,80,14.95814578,24.72008547,0.010238934,1.206947803
attrs,D2.S,C2.3,0.5,10,fold_1,55,33.2521645,38.04505814,0.019996762,0.630411565
attrs,D2.S,C2.3,0.5,10,fold_2,50,38.79880678,32.71671744,0.014061213,0.581247542
attrs,D2.S,C2.3,0.5,10,fold_3,61.25,39.05850603,44.61854983,0.021653414,0.540786535
attrs,D2.S,C2.3,0.5,10,fold_4,37.77777778,21.5259566,25.85618582,0.014873187,0.440796243
attrs,D2.S,C2.3,0.5,10,fold_5,68,35.77330651,42.97417417,0.021775579,1.088197374
attrs,D2.S,C3.1,0.8,3,fold_1,37.03703704,20.2991453,24.15945166,0.019658619,0.831342167
attrs,D2.S,C3.1,0.8,3,fold_2,40.74074074,20.19927536,24.27241375,0.020420472,1.201555782
attrs,D2.S,C3.1,0.8,3,fold_3,41.66666667,12.32492997,18.43954248,0.015166402,0.995644897
attrs,D2.S,C3.1,0.8,3,fold_4,44.44444444,19.73856209,26.20675621,0.018356085,0.79104397
attrs,D2.S,C3.1,0.8,3,fold_5,44.44444444,24.59114959,28.9449113,0.018252889,1.059019327
attrs,D2.S,C3.2,0.8,5,fold_1,51.11111111,25.44610437,31.79792917,0.019404968,0.932110813
attrs,D2.S,C3.2,0.8,5,fold_2,37.77777778,17.28395062,23.17460317,0.014612198,1.192323552
attrs,D2.S,C3.2,0.8,5,fold_3,48.88888889,21.83641975,29.66434437,0.014842484,1.076986631
attrs,D2.S,C3.2,0.8,5,fold_4,64.44444444,29.27979671,38.97120252,0.020853466,1.224299219
attrs,D2.S,C3.2,0.8,5,fold_5,75,51.44303613,57.5667735,0.015007555,1.158206671
attrs,D2.S,C3.3,0.8,10,fold_1,53.33333333,34.91452991,39.85713349,0.019653135,1.118818124
attrs,D2.S,C3.3,0.8,10,fold_2,52.22222222,38.26709402,41.08200173,0.020105468,1.434219811
attrs,D2.S,C3.3,0.8,10,fold_3,43.33333333,30.04555357,34.91122869,0.0151426,1.171122154
attrs,D2.S,C3.3,0.8,10,fold_4,53.33333333,41.72260237,39.34200037,0.020582146,1.610664686
attrs,D2.S,C3.3,0.8,10,fold_5,54.44444444,45.25150775,47.81586801,0.016536845,1.348017931
classes,D1,C1.1,0.2,3,fold_1,61.11111111,14.65156575,23.35205773,0.095480879,13.2857068
classes,D1,C1.1,0.2,3,fold_2,40,6.154761905,10.62378168,0.089926577,19.36513925
classes,D1,C1.1,0.2,3,fold_3,73.33333333,11.82927218,20.29872426,0.086620235,20.30597358
classes,D1,C1.1,0.2,3,fold_4,40,6.815037594,11.58899924,0.142439938,36.88185081
classes,D1,C1.1,0.2,3,fold_5,53.33333333,10.60977619,17.60907393,0.174167109,48.77302041
classes,D1,C2.1,0.2,5,fold_1,42,13.92349317,19.92967383,0.199160981,44.57829988
classes,D1,C2.1,0.2,5,fold_2,37.77777778,14.89350156,20.5001015,0.176419761,37.93698012
classes,D1,C2.1,0.2,5,fold_3,53.33333333,19.3303483,28.22300106,0.109035015,14.21657157
classes,D1,C2.1,0.2,5,fold_4,35.55555556,13.43726964,18.93503208,0.111974054,15.3297304
classes,D1,C2.1,0.2,5,fold_5,42.22222222,15.78943601,22.59621002,0.115852276,14.95874169
classes,D1,C3.1,0.2,10,fold_1,34.61538462,23.45995834,25.52586847,0.110259955,16.3817367
classes,D1,C3.1,0.2,10,fold_2,38.18181818,37.25857476,34.1350146,0.104301258,13.78412453
classes,D1,C3.1,0.2,10,fold_3,24.16666667,26.19099833,22.65225675,0.120932062,14.56546632
classes,D1,C3.1,0.2,10,fold_4,25.83333333,22.18584656,22.93053996,0.114340842,10.7828719
classes,D1,C3.1,0.2,10,fold_5,24.61538462,25.18304345,22.50658109,0.09866355,9.76825384
classes,D1,C2.1,0.5,3,fold_1,17.64705882,4.866587661,7.32340036,0.117863178,36.25482777
classes,D1,C2.1,0.5,3,fold_2,13.33333333,3.90964591,5.911359977,0.196552054,63.46529913
classes,D1,C2.1,0.5,3,fold_3,23.80952381,8.659554731,12.04056448,0.114394171,23.47145249
classes,D1,C2.1,0.5,3,fold_4,24.44444444,7.980124451,9.960791826,0.109504398,33.80570397
classes,D1,C2.1,0.5,3,fold_5,27.45098039,15.36702916,14.74557738,0.102887448,22.98451893
classes,D1,C2.2,0.5,5,fold_1,38.88888889,17.98880132,22.77155622,0.109790974,42.97979758
classes,D1,C2.2,0.5,5,fold_2,35,17.50619683,21.18879619,0.104628637,33.82080568
